"Region","ReportLevel","Report"
"HSE Dublin and South East","HealthRegion","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/hr/HealthRegion1-hse-dublin-and-south-east-state-WIP07-04-2025.pdf"" target=""_blank"" title=""HSE Dublin and South East summary report"">PDF</a>  "
"HSE Dublin and North East","HealthRegion","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/hr/HealthRegion2-hse-dublin-and-north-east-state-WIP07-04-2025.pdf"" target=""_blank"" title=""HSE Dublin and North East summary report"">PDF</a>  "
"HSE West and North West","HealthRegion","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/hr/HealthRegion3-hse-west-and-north-west-state-WIP07-04-2025.pdf"" target=""_blank"" title=""HSE West and North West summary report"">PDF</a>  "
"HSE Midwest","HealthRegion","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/hr/HealthRegion4-hse-midwest-state-WIP07-04-2025.pdf"" target=""_blank"" title=""HSE Midwest summary report"">PDF</a>  "
"HSE South West","HealthRegion","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/hr/HealthRegion5-hse-south-west-state-WIP07-04-2025.pdf"" target=""_blank"" title=""HSE South West summary report"">PDF</a>  "
"HSE Dublin and Midlands","HealthRegion","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/hr/HealthRegion6-hse-dublin-and-midlands-state-WIP07-04-2025.pdf"" target=""_blank"" title=""HSE Dublin and Midlands summary report"">PDF</a>  "
"State","HealthRegion","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/hr/HealthRegion7-state-state-WIP07-04-2025.pdf"" target=""_blank"" title=""State summary report"">PDF</a>  "
