"Region","ReportLevel","Report"
"Donegal North","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN24-donegal-north-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""Donegal North summary report"">PDF</a>  "
"Sligo South Donegal","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN25-sligo-south-donegal-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""Sligo South Donegal summary report"">PDF</a>  "
"Tuam, Athenry, and Loughrea","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN26-tuam-athenry-and-loughrea-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""Tuam, Athenry, and Loughrea summary report"">PDF</a>  "
"East Galway and South Roscommon","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN27-east-galway-and-south-roscommon-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""East Galway and South Roscommon summary report"">PDF</a>  "
"Central Galway and East Galway City","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN28-central-galway-and-east-galway-city-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""Central Galway and East Galway City summary report"">PDF</a>  "
"North Roscommon and North East Galway","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN29-north-roscommon-and-north-east-galway-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""North Roscommon and North East Galway summary report"">PDF</a>  "
"West Galway","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN30-west-galway-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""West Galway summary report"">PDF</a>  "
"West Galway City","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN31-west-galway-city-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""West Galway City summary report"">PDF</a>  "
"North Kerry","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN32-north-kerry-hse-south-west-WIP07-04-2025.pdf"" target=""_blank"" title=""North Kerry summary report"">PDF</a>  "
"South Kerry","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN33-south-kerry-hse-south-west-WIP07-04-2025.pdf"" target=""_blank"" title=""South Kerry summary report"">PDF</a>  "
"West Kerry","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN34-west-kerry-hse-south-west-WIP07-04-2025.pdf"" target=""_blank"" title=""West Kerry summary report"">PDF</a>  "
"South Kildare and West Wicklow","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN35-south-kildare-and-west-wicklow-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""South Kildare and West Wicklow summary report"">PDF</a>  "
"West and Central Kildare","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN36-west-and-central-kildare-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""West and Central Kildare summary report"">PDF</a>  "
"East Kildare and Blessington","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN37-east-kildare-and-blessington-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""East Kildare and Blessington summary report"">PDF</a>  "
"Northwest Kildare","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN38-northwest-kildare-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Northwest Kildare summary report"">PDF</a>  "
"Northeast Kildare","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN39-northeast-kildare-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Northeast Kildare summary report"">PDF</a>  "
"Waterford City","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN40-waterford-city-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Waterford City summary report"">PDF</a>  "
"North Kilkenny and City","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN41-north-kilkenny-and-city-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""North Kilkenny and City summary report"">PDF</a>  "
"South Tipperary and North Waterford","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN42-south-tipperary-and-north-waterford-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""South Tipperary and North Waterford summary report"">PDF</a>  "
"Southwest Wexford","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN43-southwest-wexford-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Southwest Wexford summary report"">PDF</a>  "
"South Laois","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN44-south-laois-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""South Laois summary report"">PDF</a>  "
"East Offaly and North Laois","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN45-east-offaly-and-north-laois-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""East Offaly and North Laois summary report"">PDF</a>  "
"West Limerick","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN46-west-limerick-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""West Limerick summary report"">PDF</a>  "
"South Limerick","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN47-south-limerick-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""South Limerick summary report"">PDF</a>  "
"South Limerick City","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN48-south-limerick-city-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""South Limerick City summary report"">PDF</a>  "
"Longford and Central Westmeath","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN49-longford-and-central-westmeath-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Longford and Central Westmeath summary report"">PDF</a>  "
"East Westmeath","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN50-east-westmeath-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""East Westmeath summary report"">PDF</a>  "
"North Louth","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN51-north-louth-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""North Louth summary report"">PDF</a>  "
"South Louth and Bettystown","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN52-south-louth-and-bettystown-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""South Louth and Bettystown summary report"">PDF</a>  "
"Monaghan","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN53-monaghan-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Monaghan summary report"">PDF</a>  "
"West Mayo","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN54-west-mayo-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""West Mayo summary report"">PDF</a>  "
"North Mayo","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN55-north-mayo-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""North Mayo summary report"">PDF</a>  "
"East Mayo","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN56-east-mayo-hse-west-and-north-west-WIP07-04-2025.pdf"" target=""_blank"" title=""East Mayo summary report"">PDF</a>  "
"Central Meath","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN57-central-meath-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Central Meath summary report"">PDF</a>  "
"East Meath","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN58-east-meath-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""East Meath summary report"">PDF</a>  "
"Southwest Meath","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN59-southwest-meath-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Southwest Meath summary report"">PDF</a>  "
