OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area
"1684",2ae19629-1d58-13a3-e055-000000000001,Y,DUN LAOGHAIRE-SANDYCOVE,DÚN LAOGHAIRE-CUAS AN GHAINIMH,"267076","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,DÚN LAOGHAIRE,4903.284596224390953,-974145.247890369966626
"1685",2ae19629-1d59-13a3-e055-000000000001,Y,DUN LAOGHAIRE-WEST CENTRAL,DÚN LAOGHAIRE LÁIR THIAR,"267077","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,DÚN LAOGHAIRE,4543.844809423448169,-474487.203548522375058
"1686",2ae19629-1d5a-13a3-e055-000000000001,Y,DUNDRUM-BALALLY,DÚN DROMA-BAILE AMHLAOIBH,"267078","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,GLENCULLEN-SANDYFORD,7842.669864634844089,-2509546.908023142721504
"1687",2ae19629-1d5b-13a3-e055-000000000001,Y,DUNDRUM-KILMACUD,DÚN DROMA-CILL MOCHUDA,"267079","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,DUNDRUM,4541.834401784746660,-917743.366860313573852
"1688",2ae19629-1d5c-13a3-e055-000000000001,Y,DUNDRUM-SANDYFORD,DÚN DROMA-ÁTH AN GHAINIMH,"267080","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,GLENCULLEN-SANDYFORD,7683.226832207115876,-2474179.978194247931242
"1689",2ae19629-1d5d-13a3-e055-000000000001,Y,DUNDRUM-SWEETMOUNT,DÚN DROMA-DROIM MEALA,"267081","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,DUNDRUM,3065.334258067695828,-557781.206083390279673
"1690",2ae19629-1d5e-13a3-e055-000000000001,Y,DUNDRUM-TANEY,DÚN DROMA-TEACH NAITHÍ,"267082","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,DUNDRUM,3455.195532831064611,-572016.163686262560077
"1691",2ae19629-1d5f-13a3-e055-000000000001,Y,EDMONDSTOWN,BAILE ÉAMAINN,"267083","1","03",SOUTH DUBLIN,Baile Átha Cliath,FIRHOUSE-BOHERNABREENA,9403.866894441756813,-4263841.427496851421893
"1692",2ae19629-1d60-13a3-e055-000000000001,Y,FIRHOUSE VILLAGE,TEACH NA GIÚISE,"267084","1","03",SOUTH DUBLIN,Baile Átha Cliath,FIRHOUSE-BOHERNABREENA,7657.891718555666557,-2424197.655316885095090
"1693",2ae19629-1d61-13a3-e055-000000000001,Y,FIRHOUSE-BALLYCULLEN,TEACH NA GIÚISE-BAILE UÍ CHUILINN,"267085","1","03",SOUTH DUBLIN,Baile Átha Cliath,FIRHOUSE-BOHERNABREENA,7921.099345753227681,-2845633.073028231039643
"1694",2ae19629-1d62-13a3-e055-000000000001,Y,CRUMLIN E,CROMGHLINN E,"268055","1","02",DUBLIN CITY,Baile Átha Cliath,BALLYFERMOT-DRIMNAGH,2807.895966064025288,-377031.009295213676523
"1695",2ae19629-1d63-13a3-e055-000000000001,Y,CRUMLIN F,CROMGHLINN F,"268056","1","02",DUBLIN CITY,Baile Átha Cliath,BALLYFERMOT-DRIMNAGH,2764.803006780241049,-399733.022175153542776
"1696",2ae19629-1d64-13a3-e055-000000000001,Y,DECIES,NA DÉISE,"268057","1","02",DUBLIN CITY,Baile Átha Cliath,BALLYFERMOT-DRIMNAGH,2355.588374367612232,-316796.925231641973369
"1697",2ae19629-1d65-13a3-e055-000000000001,Y,DRUMCONDRA SOUTH A,DROIM CONRACH THEAS A,"268058","1","02",DUBLIN CITY,Baile Átha Cliath,CLONTARF,4294.676287644069816,-1039169.473998050088994
